Frequency,IN2/IN1
500.000000	0.003805,0.014461
539.887581	0.004550,0.015712
582.957201	0.005377,0.016998
629.462706	0.006481,0.018585
679.678195	0.007780,0.020106
733.899634	0.009419,0.021703
792.446596	0.011446,0.023472
855.664152	0.014065,0.025562
923.924899	0.017265,0.027228
997.631157	0.021479,0.028615
1077.217345	0.026783,0.029961
1163.152534	0.033180,0.030204
1255.943216	0.040937,0.028353
1356.136290	0.049428,0.024093
1464.322282	0.056935,0.016023
1581.138830	0.061602,0.004805
1707.274437	0.061272,-0.008087
1843.472532	0.056198,-0.019446
1990.535853	0.047958,-0.027197
2149.331174	0.039281,-0.031532
2320.794417	0.031640,-0.032851
2505.936168	0.024719,-0.032234
2705.847633	0.019398,-0.030518
2921.707067	0.015125,-0.028909
3154.786722	0.011771,-0.026822
3406.460345	0.009164,-0.024835
3678.211272	0.007171,-0.022749
3971.641174	0.005525,-0.020932
4288.479493	0.004308,-0.019401
4630.593641	0.003279,-0.017536
5000.000000	0.002394,-0.016211
5398.875812	0.001840,-0.014789
5829.572006	0.001230,-0.013657
6294.627059	0.000860,-0.012495
6796.781954	0.000324,-0.011465
7338.996338	0.000044,-0.010486
7924.465962	-0.000244,-0.009657
8556.641521	-0.000553,-0.008782
9239.248987	-0.000609,-0.008146
9976.311575	-0.000781,-0.007585
10772.173450	-0.000808,-0.006770
11631.525336	-0.000962,-0.006249
12559.432158	-0.001031,-0.005538
13561.362897	-0.001026,-0.004976
14643.222823	-0.000926,-0.004602
15811.388301	-0.001156,-0.004159
17072.744369	-0.001218,-0.004006
18434.725323	-0.001124,-0.003432
19905.358528	-0.000946,-0.003303
21493.311735	-0.000947,-0.002950
23207.944168	-0.000888,-0.002406
25059.361681	-0.001107,-0.002242
27058.476327	-0.000655,-0.001923
29217.070669	-0.000929,-0.001582
31547.867224	-0.000860,-0.001411
34064.603453	-0.000660,-0.001379
36782.112723	-0.000484,-0.001385
39716.411736	-0.000634,-0.001256
42884.794930	-0.000643,-0.000771
46305.936406	-0.000802,-0.000797
50000.000000	-0.000083,-0.001212
