Frequency,IN2/IN1
100.000000	0.990103,-0.099010
112.201845	0.987590,-0.110809
125.892541	0.984450,-0.123935
141.253754	0.980512,-0.138501
158.489319	0.975507,-0.154607
177.827941	0.969396,-0.172386
199.526231	0.961743,-0.191893
223.872114	0.952288,-0.213191
251.188643	0.940792,-0.236316
281.838293	0.926464,-0.261113
316.227766	0.909101,-0.287483
354.813389	0.888246,-0.315162
398.107171	0.863264,-0.343672
446.683592	0.833873,-0.372477
501.187234	0.799267,-0.400582
562.341325	0.759900,-0.427322
630.957344	0.715322,-0.451337
707.945784	0.666290,-0.471696
794.328235	0.613187,-0.487070
891.250938	0.557617,-0.496973
1000.000000	0.500081,-0.500078
1122.018454	0.443010,-0.497062
1258.925412	0.387179,-0.487433
1412.537545	0.334164,-0.472007
1584.893192	0.285044,-0.451741
1778.279410	0.240544,-0.427730
1995.262315	0.201027,-0.401084
2238.721139	0.166582,-0.372920
2511.886432	0.137039,-0.344191
2818.382931	0.112030,-0.315715
3162.277660	0.091102,-0.288065
3548.133892	0.073769,-0.261689
3981.071706	0.059512,-0.236886
4466.835922	0.047878,-0.213795
5011.872336	0.038424,-0.192504
5623.413252	0.030784,-0.172997
6309.573445	0.024623,-0.155228
7079.457844	0.019672,-0.139118
7943.282347	0.015706,-0.124558
8912.509381	0.012532,-0.111438
10000.000000	0.010002,-0.099640
11220.184543	0.007975,-0.089054
12589.254118	0.006362,-0.079566
14125.375446	0.005079,-0.071072
15848.931925	0.004059,-0.063476
17782.794100	0.003249,-0.056686
19952.623150	0.002606,-0.050621
22387.211386	0.002096,-0.045206
25118.864315	0.001695,-0.040372
28183.829313	0.001380,-0.036058
31622.776602	0.001134,-0.032209
35481.338923	0.000939,-0.028775
39810.717055	0.000790,-0.025712
44668.359215	0.000622,-0.022818
50118.723363	0.000508,-0.020254
56234.132519	0.000410,-0.017992
63095.734448	0.000327,-0.015991
70794.578438	0.000260,-0.014223
79432.823472	0.000206,-0.012655
89125.093813	0.000164,-0.011262
100000.000000	0.000132,-0.010025
