Frequency,IN2/IN1
500.000000	1.418693,3.594502
539.887581	1.389833,3.257474
582.957201	1.358035,2.943013
629.462706	1.323008,2.652321
679.678195	1.284431,2.379789
733.899634	1.241374,2.126631
792.446596	1.195343,1.890485
855.664152	1.146251,1.675000
923.924899	1.093350,1.473970
997.631157	1.037447,1.289343
1077.217345	0.978570,1.121997
1163.152534	0.918022,0.969956
1255.943216	0.856276,0.832730
1356.136290	0.794038,0.710503
1464.322282	0.732218,0.601550
1581.138830	0.671520,0.505355
1707.274437	0.611937,0.420949
1843.472532	0.554553,0.348057
1990.535853	0.499222,0.285643
2149.331174	0.447858,0.232655
2320.794417	0.399927,0.187745
2505.936168	0.355249,0.149853
2705.847633	0.314198,0.118340
2921.707067	0.276571,0.092744
3154.786722	0.242997,0.071632
3406.460345	0.212709,0.054449
3678.211272	0.185385,0.040469
3971.641174	0.161264,0.029535
4288.479493	0.139986,0.020880
4630.593641	0.121121,0.013776
5000.000000	0.104595,0.008405
5398.875812	0.090047,0.004259
5829.572006	0.077317,0.001221
6294.627059	0.066335,-0.001157
6796.781954	0.056877,-0.002767
7338.996338	0.048608,-0.004006
7924.465962	0.041513,-0.004779
8556.641521	0.035420,-0.005395
9239.248987	0.030040,-0.005548
9976.311575	0.025443,-0.005496
10772.173450	0.021401,-0.005615
11631.525336	0.018024,-0.005367
12559.432158	0.015192,-0.005279
13561.362897	0.012575,-0.005025
14643.222823	0.010315,-0.004593
15811.388301	0.008718,-0.004231
17072.744369	0.007279,-0.003636
18434.725323	0.005891,-0.003477
19905.358528	0.004658,-0.002944
21493.311735	0.003779,-0.002625
23207.944168	0.002993,-0.002547
25059.361681	0.002639,-0.002146
27058.476327	0.001716,-0.001966
29217.070669	0.001634,-0.001831
31547.867224	0.001272,-0.001571
34064.603453	0.000848,-0.001212
36782.112723	0.000523,-0.000870
39716.411736	0.000548,-0.000682
42884.794930	0.000477,-0.000909
46305.936406	0.000571,-0.000679
50000.000000	0.000497,-0.000079
