Frequency,src,in1,in2,in3,in4,in5,in6
100.000000	0.100000,0.000000	-0.001198,-0.015449	0.098801,-0.015449	0.000000,0.000002	-0.001198,-0.015452	0.098801,-0.015452	0.000000,0.000000
112.201845	0.100000,0.000000	-0.001511,-0.017335	0.098488,-0.017335	0.000000,0.000001	-0.001511,-0.017336	0.098488,-0.017336	0.000000,0.000000
125.892541	0.100000,0.000000	-0.001907,-0.019448	0.098092,-0.019448	0.000000,0.000001	-0.001908,-0.019449	0.098091,-0.019449	0.000000,0.000000
141.253754	0.100000,0.000000	-0.002410,-0.021813	0.097589,-0.021813	0.000001,0.000005	-0.002412,-0.021818	0.097588,-0.021818	0.000000,0.000000
158.489319	0.100000,0.000000	-0.003050,-0.024469	0.096949,-0.024469	0.000001,0.000004	-0.003051,-0.024473	0.096948,-0.024473	0.000000,0.000000
177.827941	0.100000,0.000000	-0.003864,-0.027439	0.096135,-0.027439	0.000002,0.000007	-0.003866,-0.027447	0.096133,-0.027447	0.000000,0.000000
199.526231	0.100000,0.000000	-0.004904,-0.030767	0.095095,-0.030767	0.000002,0.000005	-0.004906,-0.030772	0.095093,-0.030772	0.000000,0.000000
223.872114	0.100000,0.000000	-0.006234,-0.034488	0.093765,-0.034488	0.000003,-0.000002	-0.006238,-0.034486	0.093761,-0.034486	0.000000,0.000000
251.188643	0.100000,0.000000	-0.007943,-0.038611	0.092056,-0.038611	0.000004,0.000009	-0.007948,-0.038620	0.092051,-0.038620	0.000000,0.000000
281.838293	0.100000,0.000000	-0.010144,-0.043190	0.089855,-0.043190	0.000005,0.000011	-0.010149,-0.043202	0.089850,-0.043202	0.000000,0.000000
316.227766	0.100000,0.000000	-0.012986,-0.048225	0.087013,-0.048225	0.000006,0.000015	-0.012992,-0.048241	0.087007,-0.048241	0.000000,0.000000
354.813389	0.100000,0.000000	-0.016660,-0.053713	0.083339,-0.053713	0.000008,0.000005	-0.016669,-0.053718	0.083330,-0.053718	0.000000,0.000000
398.107171	0.100000,0.000000	-0.021411,-0.059538	0.078589,-0.059538	0.000010,0.000017	-0.021421,-0.059555	0.078579,-0.059555	0.000000,0.000000
446.683592	0.100000,0.000000	-0.027525,-0.065587	0.072474,-0.065587	0.000011,-0.000004	-0.027537,-0.065582	0.072463,-0.065582	0.000000,0.000000
501.187234	0.100000,0.000000	-0.035312,-0.071499	0.064688,-0.071499	0.000013,-0.000025	-0.035325,-0.071473	0.064674,-0.071473	0.000000,0.000000
562.341325	0.100000,0.000000	-0.045031,-0.076679	0.054968,-0.076679	0.000013,0.000012	-0.045045,-0.076691	0.054954,-0.076691	0.000000,0.000000
630.957344	0.100000,0.000000	-0.056753,-0.080459	0.043246,-0.080459	0.000013,-0.000004	-0.056766,-0.080455	0.043233,-0.080455	0.000000,0.000000
707.945784	0.100000,0.000000	-0.070157,-0.081792	0.029842,-0.081792	0.000012,0.000011	-0.070170,-0.081804	0.029829,-0.081804	0.000000,0.000000
794.328235	0.100000,0.000000	-0.084355,-0.079874	0.015644,-0.079874	0.000008,-0.000021	-0.084363,-0.079853	0.015636,-0.079853	0.000000,0.000000
891.250938	0.100000,0.000000	-0.097902,-0.074183	0.002097,-0.074183	0.000005,0.000013	-0.097907,-0.074196	0.002092,-0.074196	0.000000,0.000000
1000.000000	0.100000,0.000000	-0.109186,-0.065287	-0.009186,-0.065287	-0.000000,-0.000013	-0.109186,-0.065274	-0.009186,-0.065274	0.000000,0.000000
