Frequency,src,in1,in2,in3,in4
100.000000	1.000000,0.000000	0.820454,-0.254145	0.666372,-0.426144	0.554963,-0.531429	0.496769,-0.581158
112.201845	1.000000,0.000000	0.795117,-0.262365	0.619728,-0.435403	0.493260,-0.538821	0.427330,-0.586826
125.892541	1.000000,0.000000	0.769155,-0.268342	0.572157,-0.439731	0.430593,-0.539000	0.356975,-0.583994
141.253754	1.000000,0.000000	0.743148,-0.272126	0.524803,-0.439146	0.368573,-0.531943	0.287582,-0.572614
158.489319	1.000000,0.000000	0.717637,-0.273935	0.478767,-0.433986	0.308773,-0.518058	0.220993,-0.553130
177.827941	1.000000,0.000000	0.693082,-0.274142	0.434985,-0.424869	0.252546,-0.498136	0.158809,-0.526425
199.526231	1.000000,0.000000	0.669761,-0.273221	0.394128,-0.412625	0.200934,-0.473267	0.102293,-0.493736
223.872114	1.000000,0.000000	0.647824,-0.271703	0.356575,-0.398168	0.154584,-0.444661	0.052268,-0.456444
251.188643	1.000000,0.000000	0.627225,-0.270105	0.322405,-0.382414	0.113770,-0.413556	0.009149,-0.415977
281.838293	1.000000,0.000000	0.607785,-0.268875	0.291471,-0.366166	0.078490,-0.381078	-0.026953,-0.373667
316.227766	1.000000,0.000000	0.589214,-0.268375	0.263426,-0.350082	0.048486,-0.348188	-0.056211,-0.330684
354.813389	1.000000,0.000000	0.571144,-0.268839	0.237817,-0.334626	0.023370,-0.315657	-0.078942,-0.288024
398.107171	1.000000,0.000000	0.553155,-0.270383	0.214106,-0.320076	0.002642,-0.284062	-0.095602,-0.246508
446.683592	1.000000,0.000000	0.534847,-0.272984	0.191801,-0.306509	-0.014163,-0.253794	-0.106634,-0.206801
501.187234	1.000000,0.000000	0.515816,-0.276495	0.170399,-0.293842	-0.027568,-0.225119	-0.112588,-0.169478
562.341325	1.000000,0.000000	0.495740,-0.280664	0.149528,-0.281843	-0.038004,-0.198171	-0.113984,-0.135006
630.957344	1.000000,0.000000	0.474381,-0.285139	0.128921,-0.270177	-0.045872,-0.173010	-0.111403,-0.103798
707.945784	1.000000,0.000000	0.451614,-0.289511	0.108463,-0.258444	-0.051516,-0.149638	-0.105471,-0.076194
794.328235	1.000000,0.000000	0.427439,-0.293349	0.088204,-0.246238	-0.055217,-0.128027	-0.096868,-0.052448
891.250938	1.000000,0.000000	0.401994,-0.296246	0.068360,-0.233209	-0.057193,-0.108137	-0.086308,-0.032708
1000.000000	1.000000,0.000000	0.375515,-0.297846	0.049260,-0.219109	-0.057646,-0.089939	-0.074570,-0.016987
1122.018454	1.450000,0.000000	0.506510,-0.432241	0.048098,-0.296125	-0.078677,-0.107207	-0.086417,-0.008302
1258.925412	1.900000,0.000000	0.610154,-0.563100	0.029702,-0.356630	-0.102078,-0.111884	-0.094015,0.005327
1412.537545	2.350000,0.000000	0.690257,-0.688135	0.003518,-0.399968	-0.118085,-0.106733	-0.089478,0.019639
1584.893192	2.800000,0.000000	0.746198,-0.805139	-0.029814,-0.426144	-0.129577,-0.094480	-0.079444,0.031567
1778.279410	3.250000,0.000000	0.779679,-0.912162	-0.066261,-0.436071	-0.135522,-0.077847	-0.065903,0.039266
1995.262315	3.700000,0.000000	0.792685,-1.007354	-0.102054,-0.431233	-0.135390,-0.059156	-0.050715,0.042295
2238.721139	4.150000,0.000000	0.787148,-1.088878	-0.134765,-0.413331	-0.130232,-0.039855	-0.036468,0.041781
2511.886432	4.600000,0.000000	0.765819,-1.155560	-0.161750,-0.385194	-0.120394,-0.021869	-0.023890,0.038439
2818.382931	5.050000,0.000000	0.731269,-1.206753	-0.181910,-0.350054	-0.107480,-0.006841	-0.014077,0.032970
3162.277660	5.500000,0.000000	0.686463,-1.241918	-0.194536,-0.310415	-0.092696,0.005070	-0.006957,0.027069
3548.133892	5.950000,0.000000	0.634423,-1.261342	-0.199621,-0.269175	-0.077196,0.013377	-0.002069,0.021223
3981.071706	6.400000,0.000000	0.577754,-1.265884	-0.198303,-0.228787	-0.062647,0.018111	0.000465,0.015740
4466.835922	6.850000,0.000000	0.519371,-1.256471	-0.191063,-0.190508	-0.049032,0.020444	0.002111,0.011577
5011.872336	7.300000,0.000000	0.461130,-1.235015	-0.179870,-0.156117	-0.037675,0.020291	0.002399,0.007924
5623.413252	7.750000,0.000000	0.405103,-1.203055	-0.165508,-0.125771	-0.027995,0.018993	0.002549,0.005422
6309.573445	8.200000,0.000000	0.352327,-1.162623	-0.149699,-0.099841	-0.020545,0.016944	0.002139,0.003696
7079.457844	8.650000,0.000000	0.303787,-1.115725	-0.133265,-0.078388	-0.014810,0.014364	0.001675,0.002304
7943.282347	9.100000,0.000000	0.259960,-1.064057	-0.117020,-0.060853	-0.010496,0.011839	0.001264,0.001395
8912.509381	9.550000,0.000000	0.221003,-1.009233	-0.101534,-0.046757	-0.007287,0.009570	0.000978,0.000854
10000.000000	10.000000,0.000000	0.186789,-0.952662	-0.087266,-0.035600	-0.005023,0.007626	0.000706,0.000555
11220.184543	10.000000,0.000000	0.150316,-0.856978	-0.071185,-0.025764	-0.003284,0.005708	0.000473,0.000333
12589.254118	10.000000,0.000000	0.120702,-0.769561	-0.057708,-0.018591	-0.002053,0.004193	0.000402,0.000165
14125.375446	10.000000,0.000000	0.096665,-0.690025	-0.046695,-0.013311	-0.001391,0.003130	0.000189,0.000155
15848.931925	10.000000,0.000000	0.077310,-0.618010	-0.037616,-0.009553	-0.000909,0.002253	0.000106,0.000069
17782.794100	10.000000,0.000000	0.061753,-0.552985	-0.030208,-0.006861	-0.000580,0.001585	0.000071,-0.000009
19952.623150	10.000000,0.000000	0.049278,-0.494391	-0.024199,-0.004888	-0.000361,0.001151	0.000055,-0.000002
22387.211386	10.000000,0.000000	0.039281,-0.441725	-0.019360,-0.003466	-0.000233,0.000846	0.000032,0.000017
25118.864315	10.000000,0.000000	0.031294,-0.394475	-0.015462,-0.002459	-0.000144,0.000614	0.000025,0.000020
28183.829313	10.000000,0.000000	0.024915,-0.352143	-0.012338,-0.001754	-0.000092,0.000430	0.000015,0.000003
31622.776602	10.000000,0.000000	0.019833,-0.314251	-0.009827,-0.001250	-0.000047,0.000301	0.000021,-0.000003
35481.338923	10.000000,0.000000	0.015778,-0.280360	-0.007830,-0.000886	-0.000031,0.000216	0.000012,-0.000001
39810.717055	10.000000,0.000000	0.012545,-0.250074	-0.006241,-0.000631	-0.000027,0.000150	-0.000000,-0.000004
44668.359215	10.000000,0.000000	0.009978,-0.223021	-0.004959,-0.000445	-0.000009,0.000109	0.000008,-0.000000
50118.723363	10.000000,0.000000	0.007931,-0.198868	-0.003950,-0.000313	-0.000011,0.000081	-0.000000,0.000003
56234.132519	10.000000,0.000000	0.006305,-0.177314	-0.003138,-0.000222	-0.000003,0.000057	0.000003,0.000002
63095.734448	10.000000,0.000000	0.005010,-0.158083	-0.002497,-0.000158	-0.000005,0.000039	-0.000001,-0.000000
70794.578438	10.000000,0.000000	0.003983,-0.140929	-0.001984,-0.000114	-0.000002,0.000025	-0.000000,-0.000003
79432.823472	10.000000,0.000000	0.003165,-0.125627	-0.001577,-0.000078	-0.000001,0.000020	-0.000000,0.000001
89125.093813	10.000000,0.000000	0.002516,-0.111984	-0.001253,-0.000055	-0.000000,0.000014	0.000000,0.000000
100000.000000	10.000000,0.000000	0.001999,-0.099819	-0.000996,-0.000040	-0.000000,0.000009	-0.000000,-0.000000
