Frequency,IN2/IN1
50.000000	-1.119045,18.678369
56.100923	-1.135009,16.704019
62.946271	-1.125857,15.014268
70.626877	-1.066406,13.291818
79.244660	-1.068438,11.961612
88.913971	-1.028623,10.686349
99.763116	-1.056303,9.639261
111.936057	-1.000442,8.593844
125.594322	-1.007952,7.741895
140.919147	-0.998066,7.006290
158.113883	-0.957895,6.287065
177.406695	-0.982044,5.741050
199.053585	-0.931685,5.232148
223.341796	-0.891865,4.768107
250.593617	-0.841760,4.393693
281.170663	-0.768255,4.054112
315.478672	-0.733830,3.834753
353.972892	-0.624960,3.569120
397.164117	-0.540586,3.394431
445.625469	-0.346471,3.193609
500.000000	-0.190919,3.066198
561.009227	0.067884,2.875107
629.462706	0.269559,2.642652
706.268772	0.531263,2.351974
792.446596	0.709387,2.047897
889.139705	0.817276,1.683862
997.631157	0.834638,1.337899
1119.360569	0.815565,1.048826
1255.943216	0.738046,0.816345
1409.191466	0.662802,0.622499
1581.138830	0.575381,0.483066
1774.066946	0.497552,0.370216
1990.535853	0.432802,0.290324
2233.417961	0.376796,0.220896
2505.936168	0.331506,0.163051
2811.706626	0.289035,0.111435
3154.786722	0.251101,0.066564
3539.728922	0.212928,0.029554
3971.641174	0.169616,0.003525
4456.254691	0.132401,-0.014675
5000.000000	0.095222,-0.021960
5610.092272	0.068614,-0.023000
6294.627059	0.051704,-0.019931
7062.687723	0.038684,-0.017471
7924.465962	0.026518,-0.012558
8891.397050	0.021277,-0.009789
9976.311575	0.016376,-0.009599
11193.605693	0.011333,-0.006926
12559.432158	0.008438,-0.005373
14091.914656	0.005932,-0.005289
15811.388301	0.004227,-0.003719
17740.669462	0.004187,-0.003709
19905.358528	0.001858,-0.002563
22334.179608	0.002435,-0.002250
25059.361681	0.001537,-0.001616
28117.066260	0.001508,-0.001943
31547.867224	0.001291,-0.002376
35397.289219	0.001289,-0.001427
39716.411736	0.000416,-0.001563
44562.546907	-0.000014,-0.000661
50000.000000	0.000376,-0.000261
