Frequency,IN2/IN1
100.000000	249.977670,-1.786731
112.201845	249.920707,-3.101271
125.892541	249.960136,-2.324350
141.253754	249.991567,-1.116643
158.489319	249.946875,-2.620959
177.827941	249.980849,-2.609866
199.526231	249.981107,-2.793944
223.872114	249.978604,-3.067389
251.188643	249.960442,-3.485756
281.838293	249.935880,-3.944388
316.227766	249.938076,-4.327356
354.813389	249.920777,-4.913046
398.107171	249.949265,-4.650784
446.683592	249.925705,-5.194661
501.187234	249.932273,-4.802951
562.341325	249.908467,-5.960158
630.957344	249.873335,-6.642257
707.945784	249.843485,-7.001631
794.328235	249.811193,-8.329686
891.250938	249.774174,-8.791801
1000.000000	249.742230,-9.287940
1122.018454	249.038396,-9.530340
1258.925412	249.261263,-9.529440
1412.537545	250.053284,-11.298234
1584.893192	248.949492,-12.003792
1778.279410	248.961636,-14.205571
1995.262315	248.437874,-16.139116
2238.721139	248.547631,-17.250584
2511.886432	248.766914,-20.118293
2818.382931	248.737469,-22.047321
3162.277660	247.802805,-24.946209
3548.133892	247.072728,-27.739086
3981.071706	246.167495,-30.729673
4466.835922	245.659416,-35.047873
5011.872336	244.359105,-38.964187
5623.413252	242.813181,-43.072629
6309.573445	241.139113,-48.315670
7079.457844	238.741865,-53.631687
7943.282347	236.011418,-59.542807
8912.509381	232.703754,-65.896832
10000.000000	228.521427,-72.696529
11220.184543	223.378577,-79.913288
12589.254118	217.412852,-87.268764
14125.375446	210.173280,-94.996632
15848.931925	201.701463,-102.597092
17782.794100	191.826746,-109.893917
19952.623150	180.698934,-116.781037
22387.211386	168.334125,-122.809144
25118.864315	154.690171,-127.696111
28183.829313	140.088713,-131.123943
31622.776602	124.972057,-132.881837
35481.338923	109.535702,-132.937210
39810.717055	94.339934,-131.229752
44668.359215	79.696973,-127.823845
50118.723363	65.924622,-122.983522
56234.132519	53.294872,-116.956275
63095.734448	41.967954,-110.020752
70794.578438	32.000537,-102.512458
79432.823472	23.376987,-94.673443
89125.093813	16.041729,-86.776500
100000.000000	9.877529,-78.988429
