Frequency,IN2/IN1
100.000000	-493.831701,4.486139
112.201845	-493.873968,3.160089
125.892541	-493.831339,4.617457
141.253754	-493.929491,2.525426
158.489319	-493.929014,0.719058
177.827941	-493.908665,3.225240
199.526231	-493.935912,0.628328
223.872114	-493.957261,2.998333
251.188643	-493.952327,2.561305
281.838293	-493.932344,4.707258
316.227766	-493.977730,4.037675
354.813389	-493.967728,4.283502
398.107171	-493.966247,1.887754
446.683592	-493.976666,2.434260
501.187234	-493.965767,5.698526
562.341325	-494.029057,4.172098
630.957344	-494.028447,4.150998
707.945784	-493.997267,2.610367
794.328235	-494.018590,3.699625
891.250938	-494.010766,3.069677
1000.000000	-494.045570,4.858158
1122.018454	-493.237640,4.528199
1258.925412	-493.191178,3.265876
1412.537545	-494.603534,4.760711
1584.893192	-492.963276,4.112498
1778.279410	-493.985256,5.857662
1995.262315	-492.976135,7.275708
2238.721139	-493.480055,6.619145
2511.886432	-494.824667,9.250222
2818.382931	-495.221800,8.955832
3162.277660	-494.487389,10.820209
3548.133892	-493.548017,10.674759
3981.071706	-493.682794,12.595935
4466.835922	-494.123103,14.816893
5011.872336	-494.078692,16.665657
5623.413252	-493.719030,18.071159
6309.573445	-493.895723,20.741332
7079.457844	-493.542477,23.313260
7943.282347	-493.538521,26.117509
8912.509381	-493.076632,29.001766
10000.000000	-492.417919,32.504551
11220.184543	-491.944213,36.745414
12589.254118	-491.268325,40.806779
14125.375446	-490.603857,45.675727
15848.931925	-489.415386,51.147447
17782.794100	-487.947027,57.210203
19952.623150	-486.319063,64.034020
22387.211386	-484.561286,71.491543
25118.864315	-481.929010,79.908548
28183.829313	-478.641145,89.111175
31622.776602	-474.697828,99.020826
35481.338923	-469.717077,110.068103
39810.717055	-463.757206,121.911849
44668.359215	-456.380417,134.519915
50118.723363	-447.402660,148.078326
56234.132519	-436.599900,162.259713
63095.734448	-423.702066,176.779702
70794.578438	-408.533391,191.439472
79432.823472	-390.816301,205.774711
89125.093813	-370.569208,219.324156
100000.000000	-347.789842,231.569573
