Frequency,fra.csv-IN2/IN1
500.000000	0.616649,3.236662
539.887581	0.636288,2.981198
582.957201	0.611139,2.751047
629.462706	0.615864,2.518882
679.678195	0.608670,2.314945
733.899634	0.607212,2.115478
792.446596	0.597419,1.938407
855.664152	0.594968,1.774588
923.924899	0.581558,1.617295
997.631157	0.570314,1.474676
1077.217345	0.563460,1.335126
1163.152534	0.559000,1.210683
1255.943216	0.545141,1.088974
1356.136290	0.530368,0.978069
1464.322282	0.514811,0.872669
1581.138830	0.490629,0.779823
1707.274437	0.470749,0.692229
1843.472532	0.453600,0.608007
1990.535853	0.434172,0.534137
2149.331174	0.409500,0.462769
2320.794417	0.386620,0.401730
2505.936168	0.362340,0.342983
2705.847633	0.338722,0.292573
2921.707067	0.314919,0.245114
3154.786722	0.288324,0.206460
3406.460345	0.264835,0.169962
3678.211272	0.240606,0.140371
3971.641174	0.216924,0.112310
4288.479493	0.195398,0.090216
4630.593641	0.177631,0.070869
5000.000000	0.157841,0.053798
5398.875812	0.139132,0.038679
5829.572006	0.122342,0.028549
6294.627059	0.106789,0.019131
6796.781954	0.094588,0.013024
7338.996338	0.081317,0.006047
7924.465962	0.070677,0.001547
8556.641521	0.060042,-0.001446
9239.248987	0.051100,-0.003443
9976.311575	0.043197,-0.005486
10772.173450	0.036534,-0.007435
11631.525336	0.031952,-0.006511
12559.432158	0.025313,-0.007038
13561.362897	0.021128,-0.007477
14643.222823	0.017402,-0.006946
15811.388301	0.014055,-0.006672
17072.744369	0.011348,-0.006161
18434.725323	0.009150,-0.005240
19905.358528	0.007720,-0.005001
21493.311735	0.006274,-0.004097
23207.944168	0.004664,-0.003907
25059.361681	0.004434,-0.003642
27058.476327	0.002760,-0.002595
29217.070669	0.002127,-0.002466
31547.867224	0.001774,-0.001902
34064.603453	0.001471,-0.001617
36782.112723	0.001250,-0.001189
39716.411736	0.000924,-0.001086
42884.794930	0.000855,-0.000880
46305.936406	0.000478,-0.000758
50000.000000	0.000476,-0.000655
