Frequency,fra.csv-IN2/IN1
500.000000	0.430069,2.808709
539.887581	0.446324,2.572128
582.957201	0.442149,2.376196
629.462706	0.429203,2.193891
679.678195	0.426841,2.009520
733.899634	0.426135,1.861684
792.446596	0.423737,1.727989
855.664152	0.408929,1.558328
923.924899	0.420175,1.432118
997.631157	0.398710,1.323066
1077.217345	0.404414,1.193014
1163.152534	0.390943,1.091906
1255.943216	0.384113,0.988278
1356.136290	0.374632,0.898468
1464.322282	0.369066,0.812650
1581.138830	0.354936,0.726631
1707.274437	0.348803,0.659963
1843.472532	0.341113,0.586293
1990.535853	0.320268,0.519383
2149.331174	0.301461,0.462546
2320.794417	0.288256,0.408776
2505.936168	0.278559,0.362138
2705.847633	0.261275,0.316397
2921.707067	0.241210,0.277379
3154.786722	0.228655,0.241115
3406.460345	0.211540,0.210174
3678.211272	0.196680,0.176934
3971.641174	0.181649,0.153167
4288.479493	0.165467,0.129055
4630.593641	0.152868,0.108625
5000.000000	0.140754,0.095069
5398.875812	0.128302,0.075034
5829.572006	0.117579,0.060879
6294.627059	0.104859,0.049525
6796.781954	0.093887,0.041956
7338.996338	0.085104,0.033909
7924.465962	0.076356,0.022993
8556.641521	0.067856,0.018262
9239.248987	0.060841,0.013203
9976.311575	0.051874,0.009050
10772.173450	0.045636,0.003154
11631.525336	0.041393,0.000637
12559.432158	0.033776,-0.000766
13561.362897	0.030475,-0.002055
14643.222823	0.025294,-0.003610
15811.388301	0.020970,-0.004861
17072.744369	0.017731,-0.004058
18434.725323	0.014414,-0.004940
19905.358528	0.011431,-0.005021
21493.311735	0.009785,-0.005163
23207.944168	0.007849,-0.004492
25059.361681	0.005866,-0.004233
27058.476327	0.005186,-0.003034
29217.070669	0.003974,-0.003242
31547.867224	0.002809,-0.002731
34064.603453	0.001973,-0.002537
36782.112723	0.001516,-0.002125
39716.411736	0.001160,-0.001936
42884.794930	0.000845,-0.001610
46305.936406	0.000760,-0.001122
50000.000000	0.000642,-0.001131
