


Tue Nov 21 18:29:18 2023
FRA analyzer by Arief Noor Rahman
No	Freq	Mag[IN1](dB)	Ph[IN1](deg)	Mag[IN2](dB)	Ph[IN2](deg)	Mag[IN2-IN1](dB)	Ph[IN2-IN1](deg)	elapsed time
0	0.00000	-inf	0.0000000000e+00	-inf	0.0000000000e+00	-nan	0.0000000000e+00	0.281
0	0.00000	-inf	0.0000000000e+00	-inf	0.0000000000e+00	-nan	0.0000000000e+00	0.344
0	0.00000	-inf	0.0000000000e+00	-inf	0.0000000000e+00	-nan	0.0000000000e+00	0.406
0	0.00000	-inf	0.0000000000e+00	-inf	0.0000000000e+00	-nan	0.0000000000e+00	0.469
0	0.00000	-inf	0.0000000000e+00	-inf	0.0000000000e+00	-nan	0.0000000000e+00	0.531
0	0.00000	-inf	0.0000000000e+00	-inf	0.0000000000e+00	-nan	0.0000000000e+00	0.594
0	0.00000	-inf	0.0000000000e+00	-inf	0.0000000000e+00	-nan	0.0000000000e+00	0.656
1	100.00000	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	0.734
1	100.00000	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	0.812
1	100.00000	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	0.875
1	100.00000	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	0.937
1	100.00000	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	1.000
1	100.00000	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	1.062
1	100.00000	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	1.125
2	112.20185	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	1.187
2	112.20185	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	1.266
2	112.20185	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	1.328
2	112.20185	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	1.391
2	112.20185	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	1.453
2	112.20185	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	1.516
2	112.20185	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	1.578
3	125.89254	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	1.641
3	125.89254	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	1.719
3	125.89254	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	1.781
